		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2
Q9Y3A3-Q9NRL3	Q9NRL3-Q13033	yes	11	yes	114	['huMAP3_13510.1', 'huMAP3_07644.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.555	76.17186092013512	Q9NRL3	Q9Y3A3	Q13033
P56556-O75489	Q16795-O75489	no	0	yes	3	['huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.266	79.72077040220023	O75489	Q16795	P56556
Q7Z7C8-P49848	Q9HBM6-P49848	no	0	yes	42	['huMAP3_14501.1', 'huMAP3_14957.1', 'huMAP3_09451.1', 'huMAP3_10385.1', 'huMAP3_08438.1', 'huMAP3_00288.1']	0.51	76.03902766994254	P49848	Q7Z7C8	Q9HBM6
P09493-P06753	P09493-P67936	yes	110	yes	247	['huMAP3_09542.1', 'huMAP3_06153.1', 'huMAP3_14885.1', 'huMAP3_10743.1']	0.733	86.90519873855708	P09493	P67936	P06753
Q9P0V9-Q15019	Q9P0V9-Q99719	yes	57	yes	303	['huMAP3_02362.1']	0.567	73.69980868645654	Q9P0V9	Q15019	Q99719
Q13509-P07437	P07437-Q3ZCM7	yes	21	yes	441	['huMAP3_08179.1', 'huMAP3_10665.1', 'huMAP3_09233.1', 'huMAP3_09603.1', 'huMAP3_09670.1', 'huMAP3_10475.1', 'huMAP3_14709.1', 'huMAP3_06977.1']	0.59	83.89459657943895	P07437	Q13509	Q3ZCM7
Q9UHD8-Q16181	Q9P0V9-Q16181	yes	45	yes	305	['huMAP3_02362.1']	0.584	75.23992453432028	Q16181	Q9P0V9	Q9UHD8
Q9UKF6-Q92797	P33240-Q92797	no	0	yes	63	['huMAP3_09096.1', 'huMAP3_11757.1']	0.411	72.98647730153685	Q92797	P33240	Q9UKF6
P25788-O14818	P25788-P28065	no	0	yes	3	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.452	93.5532752154079	P25788	P28065	O14818
Q9NWU2-Q9H871	Q9H871-Q7L5Y9	no	0	no	0	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.631	91.06670782901824	Q9H871	Q9NWU2	Q7L5Y9
Q9Y587-Q9UPM8	Q9Y587-O00189	yes	20	yes	284	['huMAP3_12731.1', 'huMAP3_12768.1', 'huMAP3_09871.1', 'huMAP3_01388.1', 'huMAP3_11003.1', 'huMAP3_03145.1', 'huMAP3_12927.1', 'huMAP3_05011.1']	0.41	77.62493952834777	Q9Y587	Q9UPM8	O00189
Q96RT8-Q08AG7	Q96RT8-Q9UGJ1	no	0	no	0	['huMAP3_14882.1', 'huMAP3_09443.1']	0.46	75.22171600414518	Q96RT8	Q9UGJ1	Q08AG7
Q9BUL8-Q9Y6E0	Q9BUL8-Q9P289	yes	36	yes	371	['huMAP3_13510.1', 'huMAP3_02705.1', 'huMAP3_10138.1', 'huMAP3_07644.1', 'huMAP3_01936.1', 'huMAP3_11938.1', 'huMAP3_07620.1', 'huMAP3_09709.1', 'huMAP3_02766.1', 'huMAP3_10333.1']	0.589	81.34642938169036	Q9BUL8	Q9P289	Q9Y6E0
P31146-Q9BR76	Q9ULV4-Q9BR76	yes	17	yes	414	['huMAP3_04826.1', 'huMAP3_11076.1', 'huMAP3_05614.1', 'huMAP3_10784.1', 'huMAP3_09579.1', 'huMAP3_07776.1']	0.529	82.22563785199311	Q9BR76	Q9ULV4	P31146
Q9NQC1-Q9UNL4	Q9NQC1-Q8WYH8	yes	17	yes	37	['huMAP3_03602.1', 'huMAP3_11225.1', 'huMAP3_08842.1']	0.514	80.15290137414684	Q9NQC1	Q9UNL4	Q8WYH8
O75528-Q96BN2	O75528-Q86TJ2	no	0	yes	20	['huMAP3_12550.1', 'huMAP3_10397.1', 'huMAP3_00902.1', 'huMAP3_10385.1']	0.441	85.6282327693725	O75528	Q96BN2	Q86TJ2
Q8TAG9-Q8IYI6	Q9UPT5-Q8IYI6	no	0	yes	1	['huMAP3_09839.1', 'huMAP3_12587.1', 'huMAP3_04054.1', 'huMAP3_07009.1']	0.582	72.63954047473196	Q8IYI6	Q8TAG9	Q9UPT5
Q16576-Q13330	O94776-Q16576	yes	63	yes	526	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.589	77.6860242517132	Q16576	Q13330	O94776
O43521-Q07817	Q92934-Q07817	yes	25	yes	73	['huMAP3_11267.1']	0.39	84.99907772534526	Q07817	O43521	Q92934
Q8TAM2-Q8NFJ9	Q8NFJ9-Q96RK4	no	0	yes	55	['huMAP3_14150.1', 'huMAP3_01439.1']	0.471	84.87374877451258	Q8NFJ9	Q96RK4	Q8TAM2
P31150-P61106	P31150-Q15286	yes	11	yes	189	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.387	74.55203133585788	P31150	P61106	Q15286
P15408-P17275	P17544-P15408	yes	17	yes	94	['huMAP3_10133.1', 'huMAP3_15260.1', 'huMAP3_06833.1', 'huMAP3_09690.1']	0.496	86.51355233092941	P15408	P17544	P17275
P15408-P17275	P15408-P17535	yes	24	yes	135	['huMAP3_10133.1', 'huMAP3_15260.1', 'huMAP3_06833.1', 'huMAP3_09690.1']	0.511	87.74121570532087	P15408	P17535	P17275
P62136-Q12972	P62136-Q8NI77	yes	30	yes	105	['huMAP3_14504.1', 'huMAP3_06341.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.502	74.01205952819656	P62136	Q12972	Q8NI77
P06576-P36542	P36542-P30049	no	0	no	0	['huMAP3_09775.1', 'huMAP3_09307.1', 'huMAP3_08716.1', 'huMAP3_11134.1', 'huMAP3_11095.1', 'huMAP3_12213.1', 'huMAP3_07476.1']	0.48	78.00225303623203	P36542	P06576	P30049
O60244-Q13503	Q9BTT4-O60244	no	0	no	0	['huMAP3_02730.1']	0.383	78.76971953608631	O60244	Q13503	Q9BTT4
P28161-P46439	P21266-P46439	yes	25	yes	218	['huMAP3_01673.1', 'huMAP3_14934.1']	0.717	97.30680800665006	P46439	P21266	P28161
P25787-P28074	P28074-P49721	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.445	82.819888765922	P28074	P25787	P49721
P19387-P62875	O15160-P62875	yes	21	yes	265	['huMAP3_14318.1', 'huMAP3_11092.1']	0.633	87.98894094318162	P62875	P19387	O15160
P28065-P40306	P49721-P28065	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.368	78.69454513951543	P28065	P40306	P49721
Q9NVC6-Q9H944	Q6P2C8-Q9H944	no	0	yes	90	['huMAP3_02730.1']	0.248	84.25370069636742	Q9H944	Q9NVC6	Q6P2C8
Q12905-Q96SI9	Q12905-Q96KR1	yes	41	yes	495	['huMAP3_10538.1', 'huMAP3_11966.1', 'huMAP3_10625.1']	0.617	81.36102777678437	Q12905	Q96SI9	Q96KR1
O00506-Q9BUL8	Q9BUL8-Q9Y6E0	yes	37	yes	359	['huMAP3_13510.1', 'huMAP3_02705.1', 'huMAP3_10138.1', 'huMAP3_11938.1', 'huMAP3_01936.1']	0.589	81.34642938169036	Q9BUL8	O00506	Q9Y6E0
O94973-P53680	Q96CW1-O94973	no	0	no	0	['huMAP3_08540.1', 'huMAP3_08320.1', 'huMAP3_09403.1', 'huMAP3_09107.1', 'huMAP3_05849.1', 'huMAP3_10876.1', 'huMAP3_06283.1', 'huMAP3_10762.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.31	77.74384903490221	O94973	P53680	Q96CW1
P31150-P61006	P61026-P31150	yes	17	yes	196	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_11860.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.423	72.82127593925874	P31150	P61026	P61006
P42025-P61163	P42025-P47756	no	0	no	0	['huMAP3_12900.1']	0.232	75.76635507194608	P42025	P47756	P61163
P46527-P30281	P38936-P30281	yes	25	yes	98	['huMAP3_14722.1', 'huMAP3_10449.1']	0.609	88.83057406852487	P30281	P46527	P38936
Q52LR7-Q9HAF1	Q9NXR8-Q9HAF1	yes	10	yes	166	['huMAP3_04039.1', 'huMAP3_06087.1', 'huMAP3_10481.1', 'huMAP3_07843.1', 'huMAP3_09291.1', 'huMAP3_14306.1']	0.438	83.00417770712197	Q9HAF1	Q9NXR8	Q52LR7
Q9Y5X3-O60749	Q9Y5X3-Q13596	yes	57	yes	401	['huMAP3_13808.1', 'huMAP3_14326.1', 'huMAP3_13548.1', 'huMAP3_02481.1', 'huMAP3_10879.1', 'huMAP3_05609.1', 'huMAP3_12956.1', 'huMAP3_13408.1']	0.715	90.21666805369868	Q9Y5X3	Q13596	O60749
O60244-Q13503	Q9BTT4-Q13503	no	0	no	0	['huMAP3_02730.1']	0.383	78.76971953608631	Q13503	O60244	Q9BTT4
Q9NQC1-Q9HAF1	Q9NQC1-Q9UNL4	yes	22	yes	26	['huMAP3_03602.1', 'huMAP3_08842.1']	0.262	78.47704345509268	Q9NQC1	Q9HAF1	Q9UNL4
P31150-P51149	Q6IQ22-P31150	yes	21	yes	202	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.526	73.58835435256536	P31150	P51149	Q6IQ22
O15145-P61160	P59998-P61160	no	0	yes	27	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.246	84.1948389979554	P61160	O15145	P59998
P25786-P25787	P25787-P28065	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.372	92.04510376066686	P25787	P28065	P25786
Q92598-P11142	Q8WXB1-P11142	no	0	yes	4	['huMAP3_11049.1', 'huMAP3_14723.1', 'huMAP3_07919.1']	0.243	75.27249674749801	P11142	Q92598	Q8WXB1
Q92922-Q6STE5	Q92922-Q969G3	yes	17	yes	150	['huMAP3_03221.1', 'huMAP3_11470.1']	0.256	70.70423763911843	Q92922	Q969G3	Q6STE5
P62136-Q12972	O75864-P62136	yes	20	yes	81	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.266	71.29807094446122	P62136	Q12972	O75864
P61026-P31150	P31150-Q15286	yes	15	yes	178	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.387	74.55203133585788	P31150	P61026	Q15286
Q9UI08-P50552	Q9UI08-Q8N8S7	no	0	yes	78	['huMAP3_10893.1', 'huMAP3_01216.1', 'huMAP3_08368.1', 'huMAP3_06340.1', 'huMAP3_07276.1', 'huMAP3_10838.1']	0.294	83.4488897452921	Q9UI08	Q8N8S7	P50552
Q9Y496-O14782	Q9Y496-O15066	yes	28	yes	523	['huMAP3_07978.1', 'huMAP3_09585.1', 'huMAP3_12337.1', 'huMAP3_10422.1', 'huMAP3_13393.1']	0.486	77.13418723214919	Q9Y496	O15066	O14782
P36873-Q9UQ13	P36873-Q15435	yes	19	yes	226	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1']	0.688	76.4162544268164	P36873	Q15435	Q9UQ13
Q86Y82-Q96AJ9	Q86Y82-P54920	yes	13	yes	48	['huMAP3_13160.1', 'huMAP3_06458.1', 'huMAP3_08929.1', 'huMAP3_10587.1']	0.476	77.29611784045302	Q86Y82	P54920	Q96AJ9
P61026-P31150	P31150-P61106	yes	14	yes	177	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.388	74.69707831055149	P31150	P61026	P61106
P62699-Q9NWU2	P62699-Q6VN20	no	0	yes	1	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.243	75.73645420168833	P62699	Q9NWU2	Q6VN20
P22612-P31323	P17612-P31323	yes	31	yes	351	['huMAP3_07046.1', 'huMAP3_14681.1', 'huMAP3_11135.1', 'huMAP3_13352.1']	0.675	79.52860235217277	P31323	P22612	P17612
Q9H9T3-O95163	Q9H9T3-Q6IA86	no	0	yes	13	['huMAP3_10779.1', 'huMAP3_12672.1', 'huMAP3_08256.1', 'huMAP3_07900.1', 'huMAP3_05863.1', 'huMAP3_10066.1', 'huMAP3_00156.1']	0.698	82.1661446634346	Q9H9T3	Q6IA86	O95163
Q13547-Q96BD5	Q13547-O75182	yes	11	yes	239	['huMAP3_08800.1', 'huMAP3_09031.1', 'huMAP3_15128.1']	0.392	71.91177089078339	Q13547	Q96BD5	O75182
Q969H4-Q99418	Q969H4-Q15438	yes	19	yes	382	['huMAP3_14717.1', 'huMAP3_13456.1', 'huMAP3_03599.1', 'huMAP3_04004.1', 'huMAP3_13655.1']	0.288	73.53108078840305	Q969H4	Q99418	Q15438
P20618-P28065	P20618-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.406	84.10777810700138	P20618	P28070	P28065
P31150-P61006	P31150-P51151	yes	17	yes	194	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1']	0.423	72.82127593925874	P31150	P51151	P61006
Q9BTC8-O94776	Q9BTC8-Q09028	no	0	yes	42	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.563	76.86604104991056	Q9BTC8	O94776	Q09028
P06730-Q13542	P06730-Q9NRA8	yes	28	yes	71	['huMAP3_13436.1', 'huMAP3_10733.1', 'huMAP3_13122.1', 'huMAP3_12383.1', 'huMAP3_12323.1', 'huMAP3_09957.1']	0.599	85.116209842236	P06730	Q13542	Q9NRA8
Q9Y3F4-Q9H3H3	Q9Y3F4-Q7Z422	no	0	yes	15	['huMAP3_09986.1', 'huMAP3_03627.1', 'huMAP3_15264.1']	0.25	75.39517541697883	Q9Y3F4	Q7Z422	Q9H3H3
Q86W42-Q13769	Q13769-Q96FV9	no	0	no	0	['huMAP3_09101.1', 'huMAP3_11966.1', 'huMAP3_13659.1', 'huMAP3_04932.1', 'huMAP3_09943.1', 'huMAP3_10789.1', 'huMAP3_13461.1', 'huMAP3_10299.1', 'huMAP3_12548.1']	0.476	73.08169911915371	Q13769	Q86W42	Q96FV9
Q86YP4-Q9UBB5	O95983-Q86YP4	yes	11	yes	118	['huMAP3_07459.1', 'huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.372	80.8728608134949	Q86YP4	O95983	Q9UBB5
P52434-O95602	P24928-P52434	yes	39	yes	1472	['huMAP3_08487.1', 'huMAP3_14318.1', 'huMAP3_11092.1', 'huMAP3_06426.1']	0.621	82.52507596474543	P52434	P24928	O95602
Q13418-Q9HBI0	Q13418-Q9NVD7	yes	19	yes	283	['huMAP3_09385.1', 'huMAP3_11194.1']	0.464	87.18200314874149	Q13418	Q9HBI0	Q9NVD7
Q99816-Q9H9H4	Q9NZ09-Q99816	yes	11	yes	85	['huMAP3_07951.1', 'huMAP3_09572.1', 'huMAP3_13805.1', 'huMAP3_12917.1']	0.371	75.09890353079822	Q99816	Q9H9H4	Q9NZ09
O00232-P51665	P55036-P51665	no	0	no	0	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.344	75.94469076776431	P51665	O00232	P55036
Q99816-Q9H9H4	A5D8V6-Q99816	yes	66	yes	195	['huMAP3_12917.1', 'huMAP3_09572.1', 'huMAP3_13805.1']	0.721	86.45697043144574	Q99816	A5D8V6	Q9H9H4
Q13503-Q9NPJ6	Q9BTT4-Q13503	no	0	no	0	['huMAP3_02730.1']	0.489	90.16548322731924	Q13503	Q9NPJ6	Q9BTT4
P62136-O60927	O75864-P62136	yes	12	yes	25	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.266	71.29807094446122	P62136	O75864	O60927
P15408-P05412	P15336-P15408	no	0	yes	64	['huMAP3_10133.1', 'huMAP3_15260.1', 'huMAP3_06833.1', 'huMAP3_09690.1']	0.387	85.00191859235804	P15408	P15336	P05412
Q9HAF1-Q6IE81	Q9UNL4-Q9HAF1	no	0	yes	40	['huMAP3_03602.1', 'huMAP3_08842.1']	0.399	82.38375483878144	Q9HAF1	Q9UNL4	Q6IE81
Q9UL63-Q9H871	Q9H871-Q7L5Y9	no	0	no	0	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.307	84.23208661383696	Q9H871	Q7L5Y9	Q9UL63
Q99496-Q9BYE7	Q8N488-Q99496	no	0	yes	25	['huMAP3_09756.1', 'huMAP3_14051.1', 'huMAP3_10162.1', 'huMAP3_08622.1']	0.404	83.07254384280871	Q99496	Q8N488	Q9BYE7
Q6I9Y2-Q13769	Q86W42-Q13769	no	0	no	0	['huMAP3_09101.1', 'huMAP3_11966.1', 'huMAP3_13659.1', 'huMAP3_04932.1', 'huMAP3_09943.1', 'huMAP3_10789.1', 'huMAP3_13461.1', 'huMAP3_10299.1', 'huMAP3_12548.1']	0.668	82.3319242609246	Q13769	Q86W42	Q6I9Y2
P07197-Q16352	P17661-P07197	yes	33	yes	157	['huMAP3_11715.1', 'huMAP3_10960.1']	0.728	84.63593263681162	P07197	Q16352	P17661
P62136-Q6NYC8	P62136-Q9UQ13	yes	15	yes	153	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_06304.1']	0.462	71.9601633772259	P62136	Q6NYC8	Q9UQ13
Q13547-Q92769	Q92769-Q9BTC8	no	0	yes	60	['huMAP3_15128.1']	0.545	85.31960883596813	Q92769	Q13547	Q9BTC8
P49721-Q99436	Q9Y244-Q99436	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.337	71.63404777608467	Q99436	Q9Y244	P49721
Q13573-Q9Y3C6	Q13573-O43660	no	0	no	0	['huMAP3_09504.1', 'huMAP3_06726.1', 'huMAP3_09945.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.52	81.21638325818589	Q13573	O43660	Q9Y3C6
P62136-Q12972	P62136-Q13625	yes	24	yes	115	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_06304.1']	0.363	71.70402591004523	P62136	Q12972	Q13625
P11142-P54652	P54652-Q92598	yes	24	yes	534	['huMAP3_11049.1', 'huMAP3_14723.1', 'huMAP3_07919.1']	0.668	75.5928446149928	P54652	Q92598	P11142
Q9NX70-Q6P2C8	Q9NVC6-Q6P2C8	no	0	yes	6	['huMAP3_02730.1']	0.519	82.40826294551971	Q6P2C8	Q9NVC6	Q9NX70
O15145-P61158	P61158-P61160	no	0	no	0	['huMAP3_10743.1', 'huMAP3_04814.1', 'huMAP3_14624.1', 'huMAP3_13904.1', 'huMAP3_09309.1', 'huMAP3_14885.1']	0.37	80.0278587036909	P61158	O15145	P61160
Q9UL63-Q9NWU2	Q9UL63-Q9H871	yes	11	yes	170	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.249	80.5202135678253	Q9UL63	Q9NWU2	Q9H871
Q96S59-Q9NWU2	P62699-Q9NWU2	no	0	yes	30	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.247	85.75746670515767	Q9NWU2	Q96S59	P62699
Q9UH03-Q16181	Q15019-Q16181	yes	44	yes	284	['huMAP3_02362.1']	0.51	71.7611493135081	Q16181	Q9UH03	Q15019
O75306-O75489	Q16795-O75489	no	0	no	0	['huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.266	79.72077040220023	O75489	O75306	Q16795
P62136-Q8NI77	P62136-Q13625	yes	19	yes	347	['huMAP3_09354.1', 'huMAP3_10148.1', 'huMAP3_09633.1', 'huMAP3_14504.1']	0.363	71.70402591004523	P62136	Q13625	Q8NI77
P31150-P20338	P31150-P61018	yes	12	yes	215	['huMAP3_11094.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.414	75.42474819459197	P31150	P20338	P61018
Q9BWW4-Q9BWG4	P81877-Q9BWW4	yes	27	yes	106	['huMAP3_02691.1', 'huMAP3_09723.1', 'huMAP3_13541.1']	0.238	73.3910311587087	Q9BWW4	Q9BWG4	P81877
P62714-P30153	P30153-Q15172	no	0	yes	21	['huMAP3_13510.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.55	76.75404431319775	P30153	Q15172	P62714
O43660-Q99459	Q9HCS7-Q99459	no	0	yes	8	['huMAP3_09504.1', 'huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.283	74.43578018825528	Q99459	O43660	Q9HCS7
Q9H8H0-Q969X6	Q96F85-Q969X6	no	0	yes	99	['huMAP3_01743.1']	0.322	80.60321079672988	Q969X6	Q9H8H0	Q96F85
Q9NUP9-Q5T2T1	Q9NZW5-Q9NUP9	yes	38	yes	117	['huMAP3_08198.1', 'huMAP3_08481.1', 'huMAP3_11195.1', 'huMAP3_09519.1', 'huMAP3_14575.1']	0.529	81.75028388486258	Q9NUP9	Q9NZW5	Q5T2T1
Q9NWU2-Q9H871	Q7L5Y9-Q9NWU2	yes	21	yes	227	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.616	95.3467437175865	Q9NWU2	Q9H871	Q7L5Y9
P82673-P82933	P82933-P51398	no	0	no	0	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.32	77.42282021926502	P82933	P51398	P82673
O00743-O75170	Q5H9R7-O00743	yes	36	yes	665	['huMAP3_12079.1', 'huMAP3_01958.1', 'huMAP3_14031.1']	0.683	80.26615073428096	O00743	Q5H9R7	O75170
P61981-Q04917	P62258-Q04917	yes	19	yes	247	['huMAP3_12897.1', 'huMAP3_07596.1', 'huMAP3_09810.1', 'huMAP3_10808.1', 'huMAP3_06971.1']	0.666	94.61609601067886	Q04917	P62258	P61981
P20700-Q03252	P02545-P20700	yes	66	yes	136	['huMAP3_13519.1', 'huMAP3_10614.1', 'huMAP3_00325.1', 'huMAP3_10433.1', 'huMAP3_10492.1']	0.733	85.04518116854949	P20700	P02545	Q03252
Q9UP83-Q96JB2	Q9UP83-Q9Y2V7	no	0	yes	77	['huMAP3_04294.1', 'huMAP3_14423.1', 'huMAP3_09176.1', 'huMAP3_11797.1']	0.415	73.48628731827839	Q9UP83	Q96JB2	Q9Y2V7
Q9NXR8-Q9H2F5	Q52LR7-Q9NXR8	yes	19	yes	160	['huMAP3_04039.1', 'huMAP3_06087.1', 'huMAP3_10481.1', 'huMAP3_07843.1', 'huMAP3_09291.1', 'huMAP3_14306.1']	0.457	80.40797811306905	Q9NXR8	Q9H2F5	Q52LR7
P62136-Q9H788	P62136-Q13625	yes	15	yes	214	['huMAP3_09354.1', 'huMAP3_10148.1', 'huMAP3_09633.1', 'huMAP3_14504.1']	0.363	71.70402591004523	P62136	Q9H788	Q13625
Q6PJW8-P62136	P62136-Q96QC0	yes	24	yes	287	['huMAP3_14504.1']	0.478	74.21210222517954	P62136	Q6PJW8	Q96QC0
P15408-P17535	P15408-P05412	yes	26	yes	170	['huMAP3_10133.1', 'huMAP3_15260.1', 'huMAP3_06833.1', 'huMAP3_09690.1']	0.511	87.74121570532087	P15408	P17535	P05412
Q96CW5-Q9BSJ2	Q9BSJ2-Q6NZ67	no	0	yes	98	['huMAP3_14882.1', 'huMAP3_00522.1', 'huMAP3_09443.1', 'huMAP3_12213.1']	0.415	77.13206496597442	Q9BSJ2	Q6NZ67	Q96CW5
O15482-O75069	O15482-O94876	yes	29	yes	293	['huMAP3_11632.1', 'huMAP3_13734.1']	0.506	72.15355803485508	O15482	O75069	O94876
O43402-Q15006	Q9Y3B6-Q15006	yes	30	yes	200	['huMAP3_03281.1', 'huMAP3_12199.1', 'huMAP3_14641.1']	0.701	89.00292799484286	Q15006	Q9Y3B6	O43402
P31150-P51153	P31150-P61018	yes	11	yes	177	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.401	75.42474819459197	P31150	P51153	P61018
O95782-P63010	Q96CW1-O95782	no	0	yes	56	['huMAP3_08540.1', 'huMAP3_08320.1', 'huMAP3_09403.1', 'huMAP3_09107.1', 'huMAP3_10876.1', 'huMAP3_06283.1', 'huMAP3_10762.1', 'huMAP3_12394.1', 'huMAP3_05849.1', 'huMAP3_12918.1']	0.232	74.31206938835614	O95782	P63010	Q96CW1
Q9HCS7-Q99459	O75934-Q99459	no	0	no	0	['huMAP3_09504.1', 'huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.283	75.00940126010572	Q99459	Q9HCS7	O75934
Q9HC52-P35227	Q8N488-P35227	yes	17	yes	41	['huMAP3_14051.1', 'huMAP3_10162.1']	0.39	77.04744020367981	P35227	Q9HC52	Q8N488
P19388-O95602	O95602-Q9GZS1	no	0	no	0	['huMAP3_06426.1', 'huMAP3_00807.1', 'huMAP3_11092.1', 'huMAP3_09057.1', 'huMAP3_08487.1', 'huMAP3_14318.1']	0.476	72.65787489198938	O95602	Q9GZS1	P19388
Q6I9Y2-Q13769	Q13769-Q96FV9	no	0	yes	3	['huMAP3_09101.1', 'huMAP3_11966.1', 'huMAP3_13659.1', 'huMAP3_02553.1', 'huMAP3_07273.1', 'huMAP3_08233.1', 'huMAP3_04932.1', 'huMAP3_09943.1', 'huMAP3_10789.1', 'huMAP3_13461.1', 'huMAP3_10299.1', 'huMAP3_12548.1', 'huMAP3_08111.1']	0.476	73.08169911915371	Q13769	Q6I9Y2	Q96FV9
P09012-P09661	P09012-P62314	no	0	yes	42	['huMAP3_09187.1', 'huMAP3_06511.1', 'huMAP3_08980.1', 'huMAP3_15168.1']	0.425	87.64723450703417	P09012	P62314	P09661
P31150-P51151	P31150-P61018	yes	21	yes	179	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1']	0.427	75.42474819459197	P31150	P51151	P61018
Q15363-Q7Z7H5	Q15363-P49755	no	0	yes	17	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.629	80.00437350077569	Q15363	P49755	Q7Z7H5
