		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2	cmmn_p_homodimer	covariation_score	pair1_pdbs	pair2_pdbs	mutual_pair_structures	pair_struct_annot
Q16181-Q92599	Q8WYJ6-Q16181	yes	12	yes	35	['huMAP3_02362.1']	0.624	75.640824199293	Q16181	Q8WYJ6	Q92599	yes	0.054	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q96RT8-Q9UGJ1	Q9UGJ1-P23258	no	0	no	0	['huMAP3_14882.1', 'huMAP3_09443.1']	0.46	75.22171600414518	Q9UGJ1	P23258	Q96RT8	no	0.208	{'7QJ5', '6V69', '7QJ7', '8Q62', '7AS4', '7QJB', '7QJD', '7QJA', '7QJ0', '8VRJ', '6V6S', '7QJ3', '8VRD', '7QJ2', '7QJE', '7QJ6', '7QJ1', '7QJC', '7QJ8', '8VRK', '7QJ9', '7QJ4'}	{'7QJ5', '7QJ7', '8Q62', '7AS4', '7QJB', '7QJD', '7QJA', '7QJ0', '8VRJ', '6V6S', '7QJ3', '8VRD', '7QJ2', '7QJE', '7QJ6', '7QJ1', '7QJC', '7QJ8', '8VRK', '7QJ9', '7QJ4'}	{'7QJ5', '7QJ7', '8Q62', '7AS4', '7QJB', '7QJD', '7QJA', '7QJ0', '8VRJ', '6V6S', '7QJ3', '8VRD', '7QJ2', '7QJE', '7QJ6', '7QJ1', '7QJC', '7QJ8', '8VRK', '7QJ9', '7QJ4'}	yes structural evidence
Q13043-P50749	Q13188-P50749	yes	27	yes	401	['huMAP3_04592.1', 'huMAP3_12772.1', 'huMAP3_11472.1']	0.322	71.19797418740058	P50749	Q13043	Q13188	no	0.266	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P25787-P28074	P25787-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.338	86.6568920888858	P25787	P28074	P28070	yes	0.588	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
Q92526-P50990	P40227-P50990	yes	41	yes	530	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.678	78.98498806998835	P50990	Q92526	P40227	yes	0.14	{'No overlap'}	{'7X0A', '8IB8', '8I9U', '7NVM', '7TRG', '7TTN', '8SFF', '8SHL', '8SGQ', '7X7Y', '8SGC', '8SHF', '8SHA', '8SHD', '8SGL', '7X6Q', '7NVN', '8SFE', '7X0V', '7TUB', '7NVO', '7WU7', '7X0S', '8SH9', '7LUP', '8SHE', '8SHN', '7WZ3', '6NRC', '7NVL', '8SG8', '6NR9', '7X3U', '7TTT', '8SHO', '7X3J', '6NRB', '8SHQ', '6NRA', '6QB8', '7LUM', '8I1U', '6NR8', '8SHP', '8SHG', '6NRD', '8SHT', '8SG9', '8HKI'}	{'No mutual structures'}	no structural evidence
P28070-P28062	P28070-P28074	yes	13	yes	238	['huMAP3_00356.1', 'huMAP3_09656.1']	0.351	76.74847483591827	P28070	P28062	P28074	no	0.413466666666667	{'7AWE', '6E5B', '7B12', '6AVO'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'No mutual structures'}	no structural evidence
O14818-P28074	P25787-O14818	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.411	90.1973403977985	O14818	P28074	P25787	yes	0.65	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
P20618-Q99436	Q99436-P60900	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.48	86.52144532824687	Q99436	P60900	P20618	no	0.996	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
P60900-P25788	P49720-P60900	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.439	92.8983167635151	P60900	P25788	P49720	yes	0.998	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	yes structural evidence
P15408-P17275	P15408-P05412	yes	21	yes	142	['huMAP3_10133.1', 'huMAP3_15260.1', 'huMAP3_06833.1', 'huMAP3_09690.1']	0.546	90.09486721689768	P15408	P17275	P05412	yes	0.32612026042424	{'None'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q8WXI9-Q8WWY6	Q8WWY6-O94776	no	0	yes	66	['huMAP3_10472.1', 'huMAP3_15128.1']	0.268	79.19379833533655	Q8WWY6	Q8WXI9	O94776	no	0.486	{'None'}	{'None'}	{'None'}	no structural evidence
Q9UP83-Q96JB2	Q96JB2-Q8WTW3	no	0	yes	7	['huMAP3_04294.1', 'huMAP3_14423.1', 'huMAP3_09176.1', 'huMAP3_11797.1']	0.415	72.94058067619348	Q96JB2	Q8WTW3	Q9UP83	no	0.484	{'None'}	{'None'}	{'None'}	no structural evidence
Q9NPD3-Q5RKV6	Q96B26-Q9NPD3	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.544	76.8234212280547	Q9NPD3	Q5RKV6	Q96B26	no	0.706	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6H25', '6D6Q', '6D6R'}	yes structural evidence
Q16576-O94776	Q9BTC8-Q16576	yes	64	yes	396	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.569	77.36345386090959	Q16576	Q9BTC8	O94776	no	0.228	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9BT78-Q9H9Q2	Q9UBW8-Q9BT78	yes	19	yes	253	['huMAP3_05041.1', 'huMAP3_09779.1', 'huMAP3_14528.1', 'huMAP3_08550.1']	0.598	89.35589892717056	Q9BT78	Q9UBW8	Q9H9Q2	no	0.248	{'6R6H', '6R7H', '6R7I', '8H3F', '6R7N', '8H38', '6R7F', '8H3A'}	{'4D18', '4D10', '4WSN'}	{'No mutual structures'}	no structural evidence
P60891-Q14558	P60891-P11908	yes	41	yes	330	['huMAP3_13128.1', 'huMAP3_10201.1', 'huMAP3_14146.1', 'huMAP3_11883.1', 'huMAP3_10941.1', 'huMAP3_12561.1']	0.702	90.44175165149072	P60891	Q14558	P11908	yes	0.302	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
O75489-O43181	O95182-O75489	no	0	yes	6	['huMAP3_14018.1', 'huMAP3_09567.1', 'huMAP3_06397.1', 'huMAP3_08132.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.319	77.01362938257544	O75489	O95182	O43181	no	0.982	{'5XTI', '5XTB', '5XTD', '5XTH'}	{'5XTI', '5XTB', '5XTD', '5XTH'}	{'5XTI', '5XTB', '5XTD', '5XTH'}	yes structural evidence
Q9Y6Q5-O43747	Q9Y6Q5-Q10567	yes	16	yes	534	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_04311.1', 'huMAP3_10876.1', 'huMAP3_06769.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.603	73.72108808374031	Q9Y6Q5	Q10567	O43747	no	0.682	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P20618-P49721	P28066-P49721	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.448	89.37355915542256	P49721	P28066	P20618	yes	1.0	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	yes structural evidence
P20618-P28062	P28072-P28062	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1']	0.489	81.1642995031941	P28062	P20618	P28072	yes	0.964	{'5L5T', '7AWE', '7B12', '5L5Q', '5L5F', '5L5O', '5L5U', '5L5S', '5L5D', '6E5B', '5L5R', '5L5B', '5M2B', '5L5V', '5L5E', '5L5H', '6AVO', '5L5J', '5L5I', '5L5P'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q15024-Q13868	Q15024-Q06265	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.522	82.18690489060744	Q15024	Q06265	Q13868	no	0.992	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6H25', '6D6Q', '6D6R'}	yes structural evidence
O60826-Q567U6	Q8TCE6-Q567U6	no	0	yes	15	['huMAP3_14444.1', 'huMAP3_01290.1', 'huMAP3_07032.1']	0.279	83.99811216201738	Q567U6	Q8TCE6	O60826	no	0.138	{'8P0W', '8P0V', '8F2U', '8P0X'}	{'8P0V'}	{'8P0V'}	yes structural evidence
Q6IPU0-Q71F23	Q6IPU0-Q9BU64	no	0	yes	18	['huMAP3_06427.1', 'huMAP3_14808.1', 'huMAP3_09807.1', 'huMAP3_11899.1']	0.55	82.42458260303842	Q6IPU0	Q9BU64	Q71F23	no	0.364	{'7YWX', '7PB8', '7XHN', '7R5V', '7R5S', '7PKN', '7QOO', '7YYH', '7XHO'}	{'7YWX', '7PB8', '7XHN', '7R5V', '7R5S', '7PKN', '7QOO', '7YYH', '7XHO'}	{'7YWX', '7PB8', '7XHN', '7R5V', '7R5S', '7PKN', '7QOO', '7YYH', '7XHO'}	yes structural evidence
Q6VN20-Q9NWU2	Q6VN20-Q9H7D7	no	0	no	0	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.5	85.3209283783067	Q6VN20	Q9NWU2	Q9H7D7	yes	0.18	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q16576-Q13330	Q9P2Y4-Q16576	yes	20	yes	205	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.465	73.31302856965209	Q16576	Q13330	Q9P2Y4	no	0.106	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q6QNY0-Q8TDM0	Q9UL45-Q8TDM0	yes	23	yes	5	['huMAP3_09421.1', 'huMAP3_10940.1', 'huMAP3_11659.1']	0.644	87.68693066336726	Q8TDM0	Q9UL45	Q6QNY0	no	0.248	{'None'}	{'None'}	{'None'}	no structural evidence
